id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,scenario
vehP16,0.0,559367542_0,5.10,0.00,0.0,2215.0,671267430_0,7.47,5.09,2215.0,3747.76,0.0,0,1800.00,37.41,0,tripinfo_vehP16 fcd_vehP16,car,1.06,,scen1
vehP17,30.0,559367542_0,5.10,0.00,0.0,2288.0,671267430_0,7.47,3.73,2258.0,3747.76,0.0,0,1800.00,46.47,0,tripinfo_vehP17 fcd_vehP17,car,0.94,,scen1
vehP18,60.0,559367542_0,5.10,0.00,0.0,2293.0,671267430_0,7.47,4.20,2233.0,3747.76,0.0,0,1800.00,42.44,0,tripinfo_vehP18 fcd_vehP18,car,1.01,,scen1
vehP19,90.0,559367542_0,5.10,0.00,0.0,2300.0,671267430_0,7.47,4.74,2210.0,3747.76,1.0,1,1800.00,37.47,0,tripinfo_vehP19 fcd_vehP19,car,1.08,,scen1
vehP20,120.0,559367542_0,5.10,0.00,0.0,2345.0,671267430_0,7.47,4.22,2225.0,3747.76,0.0,0,1800.00,38.69,0,tripinfo_vehP20 fcd_vehP20,car,1.03,,scen1
vehP22,180.0,559367542_0,5.10,0.00,0.0,2465.0,671267430_0,7.47,5.70,2285.0,4097.77,0.0,0,1800.00,82.18,0,tripinfo_vehP22 fcd_vehP22,car,1.05,,scen1
vehP21,150.0,559367542_0,5.10,0.00,0.0,2477.0,671267430_0,7.47,4.04,2327.0,4097.77,1.0,1,1800.00,56.84,0,tripinfo_vehP21 fcd_vehP21,car,0.83,,scen1
vehP23,210.0,559367542_0,5.10,0.00,0.0,2514.0,671267430_0,7.47,4.04,2304.0,4097.77,0.0,0,1800.00,54.62,0,tripinfo_vehP23 fcd_vehP23,car,0.89,,scen1
vehP24,240.0,559367542_0,5.10,0.00,0.0,2526.0,671267430_0,7.47,4.79,2286.0,4097.77,1.0,1,1800.00,53.23,0,tripinfo_vehP24 fcd_vehP24,car,0.94,,scen1
vehP26,300.0,559367542_0,5.10,0.00,0.0,2557.0,671267430_0,7.47,5.21,2257.0,4093.98,0.0,0,1800.00,63.47,0,tripinfo_vehP26 fcd_vehP26,car,1.09,,scen1
vehP25,270.0,559367542_0,5.10,0.00,0.0,2587.0,671267430_0,7.47,4.29,2317.0,4097.77,1.0,1,1800.00,57.49,0,tripinfo_vehP25 fcd_vehP25,car,0.86,,scen1
vehP27,330.0,559367542_0,5.10,0.00,0.0,2589.0,671267430_0,7.47,5.46,2259.0,4093.98,0.0,0,1800.00,52.06,0,tripinfo_vehP27 fcd_vehP27,car,1.03,,scen1
vehP28,360.0,559367542_0,5.10,0.00,0.0,2607.0,671267430_0,7.47,5.32,2247.0,4093.98,1.0,1,1800.00,45.2,0,tripinfo_vehP28 fcd_vehP28,car,1.05,,scen1
vehP29,390.0,559367542_0,5.10,0.00,0.0,2616.0,671267430_0,7.47,6.09,2226.0,4093.98,1.0,1,1800.00,41.55,0,tripinfo_vehP29 fcd_vehP29,car,1.12,,scen1
vehP30,420.0,559367542_0,5.10,0.00,0.0,2685.0,671267430_0,7.47,4.54,2265.0,4093.98,0.0,0,1800.00,48.83,0,tripinfo_vehP30 fcd_vehP30,car,0.99,,scen1
vehP31,450.0,559367542_0,5.10,0.00,0.0,2736.0,671267430_0,7.47,4.52,2286.0,4083.79,1.0,1,1800.00,48.99,0,tripinfo_vehP31 fcd_vehP31,car,0.93,,scen1
vehP32,480.0,559367542_0,5.10,0.00,0.0,2782.0,671267430_0,7.47,4.15,2302.0,4083.79,0.0,0,1800.00,49.56,0,tripinfo_vehP32 fcd_vehP32,car,0.88,,scen1
vehP33,510.0,559367542_0,5.10,0.00,0.0,2787.0,671267430_0,7.47,4.94,2277.0,4083.79,0.0,0,1800.00,43.91,0,tripinfo_vehP33 fcd_vehP33,car,0.94,,scen1
vehP35,570.0,559367542_0,5.10,0.00,0.0,2812.0,671267430_0,7.47,6.25,2242.0,4083.79,0.0,0,1800.00,63.99,0,tripinfo_vehP35 fcd_vehP35,car,1.16,,scen1
vehP34,540.0,559367542_0,5.10,0.00,0.0,2823.0,671267430_0,7.47,4.39,2283.0,4083.79,0.0,0,1800.00,50.0,0,tripinfo_vehP34 fcd_vehP34,car,0.94,,scen1
vehP1,600.0,559367542_0,5.10,0.00,0.0,3009.0,671267430_0,7.47,5.16,2409.0,5212.78,0.0,0,1800.00,68.07,0,tripinfo_vehP1 fcd_vehP1,car,1.02,,scen1
vehP2,630.0,559367542_0,5.10,0.00,0.0,3044.0,671267430_0,7.47,4.89,2414.0,5212.78,0.0,0,1800.00,70.59,0,tripinfo_vehP2 fcd_vehP2,car,1.01,,scen1
vehP3,660.0,559367542_0,5.10,0.00,0.0,3092.0,671267430_0,7.47,5.19,2432.0,5212.78,0.0,0,1800.00,74.56,0,tripinfo_vehP3 fcd_vehP3,car,0.97,,scen1
vehP4,690.0,559367542_0,5.10,0.00,0.0,3168.0,671267430_0,7.47,4.56,2478.0,5212.78,1.0,1,1800.00,81.38,0,tripinfo_vehP4 fcd_vehP4,car,0.89,,scen1
vehP5,720.0,559367542_0,5.10,0.00,0.0,3246.0,671267430_0,7.47,4.18,2526.0,5212.78,0.0,0,1800.00,92.32,0,tripinfo_vehP5 fcd_vehP5,car,0.83,,scen1
vehP7,780.0,559367542_0,5.10,0.00,0.0,3249.0,671267430_0,7.47,4.79,2469.0,5210.5,1.0,1,1800.00,84.51,0,tripinfo_vehP7 fcd_vehP7,car,0.92,,scen1
vehP6,750.0,559367542_0,5.10,0.00,0.0,3252.0,671267430_0,7.47,4.24,2502.0,5210.5,4.0,2,1800.00,94.77,0,tripinfo_vehP6 fcd_vehP6,car,0.87,,scen1
vehP9,840.0,559367542_0,5.10,0.00,0.0,3254.0,671267430_0,7.47,6.14,2414.0,5210.5,0.0,0,1800.00,107.09,0,tripinfo_vehP9 fcd_vehP9,car,1.13,,scen1
vehP8,810.0,559367542_0,5.10,0.00,0.0,3258.0,671267430_0,7.47,4.74,2448.0,5210.5,1.0,1,1800.00,78.62,0,tripinfo_vehP8 fcd_vehP8,car,0.95,,scen1
vehP11,900.0,559367542_0,5.10,0.00,0.0,3275.0,671267430_0,7.47,6.24,2375.0,5206.15,0.0,0,1800.00,81.06,0,tripinfo_vehP11 fcd_vehP11,car,1.18,,scen1
vehP12,930.0,559367542_0,5.10,0.00,0.0,3318.0,671267430_0,7.47,5.87,2388.0,5206.15,0.0,0,1800.00,89.23,0,tripinfo_vehP12 fcd_vehP12,car,1.15,,scen1
vehP10,870.0,559367542_0,5.10,0.00,0.0,3329.0,671267430_0,7.47,4.97,2459.0,5210.5,2.0,2,1800.00,81.55,0,tripinfo_vehP10 fcd_vehP10,car,0.93,,scen1
vehP14,990.0,559367542_0,5.10,0.00,0.0,3371.0,671267430_0,7.47,6.43,2381.0,5206.15,1.0,1,1800.00,85.57,0,tripinfo_vehP14 fcd_vehP14,car,1.17,,scen1
vehP13,960.0,559367542_0,5.10,0.00,0.0,3378.0,671267430_0,7.47,4.78,2418.0,5206.15,0.0,0,1800.00,72.4,0,tripinfo_vehP13 fcd_vehP13,car,1.01,,scen1
vehP15,1020.0,559367542_0,5.10,0.00,0.0,3439.0,671267430_0,7.47,4.97,2419.0,5206.15,0.0,0,1800.00,70.57,0,tripinfo_vehP15 fcd_vehP15,car,0.99,,scen1
