scenario,interval_id,begin,end,edge_id,speed,traveltime,occupancy,entered,left
scen1,ed_port_scen1,0.0,60.0,22690115,13.44,57.91,0.38,2.0,0.0
scen1,ed_port_scen1,0.0,60.0,559367542,7.16,8.99,1.14,0.0,2.0
scen1,ed_port_scen1,60.0,120.0,1187557612,11.31,8.39,0.2,1.0,0.0
scen1,ed_port_scen1,60.0,120.0,22690115,13.36,58.15,0.62,2.0,2.0
scen1,ed_port_scen1,60.0,120.0,22690125#0,10.52,9.51,0.79,2.0,2.0
scen1,ed_port_scen1,60.0,120.0,22690125#1,10.63,9.57,0.78,2.0,2.0
scen1,ed_port_scen1,60.0,120.0,22690125#2,11.06,7.97,0.41,2.0,1.0
scen1,ed_port_scen1,60.0,120.0,559367542,7.18,8.97,1.13,0.0,2.0
scen1,ed_port_scen1,60.0,120.0,668507066#0,13.42,1.39,0.21,1.0,1.0
scen1,ed_port_scen1,60.0,120.0,668507066#1,13.29,3.13,0.21,1.0,1.0
scen1,ed_port_scen1,60.0,120.0,668507066#2,13.24,11.31,0.21,1.0,1.0
scen1,ed_port_scen1,120.0,180.0,1187557611,12.96,3.76,0.34,2.0,1.0
scen1,ed_port_scen1,120.0,180.0,1187557612,10.03,9.49,0.49,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22690115,13.34,58.29,0.62,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22690125#0,11.14,8.98,0.75,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22690125#1,11.1,9.15,0.75,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22690125#2,10.59,8.31,0.97,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22740417#0,9.5,0.23,0.48,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22740417#1,11.3,0.45,0.49,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22740417#5,10.07,0.26,0.55,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22740434#0,13.47,13.47,0.41,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22740434#1,13.45,1.85,0.41,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,22740446#5,11.37,2.83,0.24,1.0,1.0
scen1,ed_port_scen1,120.0,180.0,559367542,6.77,9.5,1.2,0.0,2.0
scen1,ed_port_scen1,120.0,180.0,657270567#0,11.38,4.71,0.24,1.0,1.0
scen1,ed_port_scen1,120.0,180.0,657270567#1,11.29,18.67,0.18,1.0,0.0
scen1,ed_port_scen1,120.0,180.0,668507066#0,13.31,1.42,0.42,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,668507066#1,13.37,3.1,0.42,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,668507066#2,13.16,11.34,0.42,2.0,2.0
scen1,ed_port_scen1,120.0,180.0,92848439#0,11.36,2.92,0.24,1.0,1.0
scen1,ed_port_scen1,120.0,180.0,92848439#1,11.07,0.66,0.25,1.0,1.0
scen1,ed_port_scen1,120.0,180.0,92848439#2,10.12,2.66,0.28,1.0,1.0
scen1,ed_port_scen1,180.0,240.0,1187557611,13.11,3.72,0.93,2.0,3.0
scen1,ed_port_scen1,180.0,240.0,1187557612,11.14,8.55,0.5,2.0,2.0
scen1,ed_port_scen1,180.0,240.0,1211925690,12.77,3.17,0.32,1.0,1.0
scen1,ed_port_scen1,180.0,240.0,22689399#1,11.16,1.31,0.37,1.0,1.0
scen1,ed_port_scen1,180.0,240.0,22689399#2,10.94,0.13,0.38,1.0,1.0
scen1,ed_port_scen1,180.0,240.0,22689399#3,11.08,0.02,0.38,1.0,1.0
scen1,ed_port_scen1,180.0,240.0,22690115,13.32,58.32,0.63,2.0,2.0
scen1,ed_port_scen1,180.0,240.0,22690125#0,9.82,10.19,0.85,2.0,2.0
scen1,ed_port_scen1,180.0,240.0,22690125#1,10.0,10.2,0.77,2.0,1.0
scen1,ed_port_scen1,180.0,240.0,22690125#2,11.1,7.92,0.54,1.0,2.0
scen1,ed_port_scen1,180.0,240.0,22740417#0,11.25,0.2,0.18,2.0,2.0
scen1,ed_port_scen1,180.0,240.0,22740417#1,13.0,0.39,0.43,2.0,2.0
scen1,ed_port_scen1,180.0,240.0,22740417#5,11.21,0.24,0.49,2.0,2.0
